"email_text","label"
"We noticed unusual sign-in activity on your Microsoft account. To protect your account, we've temporarily limited some features. Please verify your identity within 24 hours to restore full access: [Verify Now]. If you don't act, your account may be suspended.","1"
"Your Apple ID has been used to sign in to iCloud on a new iPhone 14 Pro in Warsaw, Poland. If this was you, you can ignore this message. If you did not sign in, your Apple ID may be compromised. Click here to review and secure your account immediately.","1"
"Dear PayPal user, we've detected a potentially unauthorized transaction of $847.00 from your account. If you did not authorize this payment, please click the link below to dispute the charge and secure your account before it's processed.","1"
"Your Netflix password was recently changed. If you made this change, no action is needed. If you did not change your password, click here to revert the change and secure your account. This link expires in 12 hours.","1"
"Action Required: Your Chase account has been temporarily suspended due to suspicious activity. To restore access, please verify your information using the secure link below. Failure to verify within 48 hours will result in permanent account closure.","1"
"We received a request to reset the password for your Google account. If you made this request, click the button below. If you didn't request this, you can ignore this email — your password won't be changed. [Reset Password]","1"
"A password reset was requested for your account associated with this email address. This link will expire in 30 minutes. If you did not request a password reset, please contact our support team immediately as your account may be at risk.","1"
"Hello, someone requested a password reset for your Dropbox account. If this was you, click the link below to choose a new password. The link expires in 1 hour. If you didn't make this request, please let us know and we'll help secure your account.","1"
"ALERT: A wire transfer of $3,200 has been initiated from your Bank of America account ending in 4821. If you did not authorize this transaction, please call us immediately or log in to cancel. Do not share your PIN or OTP with anyone.","1"
"Your Wells Fargo account requires immediate attention. We've placed a temporary hold on your account after detecting irregular activity. Please log in to confirm your recent transactions and lift the hold: [Secure Login]","1"
"Important notice from Barclays: Your debit card ending in 7734 has been used for an international purchase. If you were not traveling, this transaction may be fraudulent. Please review and confirm or dispute within 24 hours.","1"
"Hi, this is urgent. I'm in a board meeting and need you to process a wire transfer today for a confidential acquisition. Please keep this between us for now — I'll explain everything after the meeting. What's the best number to reach you on?","1"
"Hey, are you available right now? I need a favor — I'm stuck in meetings all day and can't make calls. I need you to purchase some gift cards (Google Play or Amazon) for a client appreciation gift. I'll reimburse you today. Can you do this?","1"
"This is James from the executive team. We're finalizing a vendor payment that needs to go out today. Our usual process is on hold due to an audit, so I need you to handle this directly. Please send $14,500 to the following account and I'll approve the reimbursement.","1"
"Quick heads up — we're switching bank accounts for payroll this month due to an upgrade with our finance provider. Please update your direct deposit info using the link below before the 15th to ensure there are no delays to your paycheck.","1"
"Please find attached Invoice #INV-20240318 for services rendered in Q1. Payment of $6,750 is due within 14 days. Please remit to the updated banking details provided in the attached PDF. Let me know if you need anything else.","1"
"Hi, following up on the outstanding invoice from last month. Our records show it hasn't been paid yet. I've updated our banking details — please use the new account information in the attached document when processing. Thanks for your prompt attention.","1"
"Reminder: Your subscription to CloudStorage Pro will renew automatically on April 1st for $189/year. If you wish to cancel or update your payment method, please click the link below. Note: Failure to update may result in service interruption.","1"
"Hi, I came across your profile and was really impressed by your background. We're looking for a Senior Data Analyst to join our remote team — the role is fully remote, $95k-$115k, and we're moving fast. Would you be open to a 15-minute call this week?","1"
"I'm a recruiter at a Fortune 500 company and your profile caught my attention. We have an opening that seems like a great fit for your skills. The compensation is competitive and the role offers full flexibility. Can I send you more details?","1"
"Congratulations! After reviewing your application, we'd like to move forward with a home-based data entry position. The role pays $22/hr and requires only 4 hours per day. We'll need you to complete a background check — please fill out the form at the link below.","1"
"Your resume was shortlisted for a remote Customer Success Manager role at a fast-growing SaaS company. The hiring manager reviewed your profile and wants to connect. Can you confirm your availability for a video interview next week?","1"
"We were unable to process your payment for your Spotify Premium subscription. To avoid losing access to your playlists and features, please update your payment information within 3 days. Your current plan will be cancelled if no action is taken.","1"
"Your Adobe Creative Cloud subscription has expired. To continue using Photoshop, Illustrator, and other apps without interruption, please renew your plan. As a valued customer, we're offering 20% off if you renew in the next 24 hours.","1"
"There was an issue processing your Amazon Prime renewal. Please update your billing information to continue enjoying free delivery and Prime Video. If payment is not received within 5 days, your Prime membership will be cancelled.","1"
"Important: We couldn't charge your card on file for your Hulu subscription. Please verify and update your payment details to avoid any service interruption. Your account will remain active for 7 more days before suspension.","1"
"Your DHL shipment #1234567890 is on hold due to an incomplete delivery address. Please confirm your delivery information within 24 hours to ensure timely delivery. A small redelivery fee of $1.99 may apply.","1"
"We attempted to deliver your package but no one was available. To reschedule your delivery or pick it up at a local depot, please visit our website and enter your tracking number. A storage fee applies after 5 business days.","1"
"FedEx notification: Your package could not be delivered due to customs clearance issues. Please click the link to pay the required customs fee of $3.50 to release your parcel. Your parcel will be returned if not cleared within 48 hours.","1"
"We've detected suspicious activity and potential malware on your device. Your personal data and banking information may be at risk. Please call our Microsoft Certified Support team at the number below to run a free security scan immediately.","1"
"WARNING: Your IP address has been flagged for illegal activity. Your internet service may be suspended within 24 hours. Please contact our cybersecurity team to resolve this issue and verify your account status.","1"
"You've been selected as one of our loyal customers to participate in a short survey. Upon completion, you'll receive a $100 reward. This is our way of giving back — simply answer 5 questions and claim your gift.","1"
"As part of our annual customer appreciation program, you've been chosen to receive a complimentary gift. Please confirm your shipping address so we can send it to you. There's no purchase necessary — this is our thank you for being a valued member.","1"
"Your OneDrive storage is almost full (4.8 GB of 5 GB used). Upgrade to Microsoft 365 for unlimited storage, or sign in to manage your files and free up space before your account stops syncing.","1"
"Your shared document 'Q4 Budget Review.xlsx' is waiting for your response. The sender has been waiting 3 days. Please click the link to view and comment on the document before it expires.","1"
"You have 2 pending messages in your DocuSign inbox. These documents require your electronic signature before the deadline. Please sign in to review and complete the signing process.","1"
"I wanted to share something that's been working really well for me lately. I've been using a new investment platform that's been generating consistent returns. Happy to chat more if you're curious — no pressure at all.","1"
"Hi, a mutual connection mentioned you might be interested in passive income opportunities. I work with a small group of investors and we have a few spots opening up next month. Would you like to learn more with no commitment?","1"
